Time,Node,State,Running jobs,Expected jobs
1.37142e+06,Syn_0,allocated,208,none
1.37142e+06,Syn_1,allocated,208,none
1.37142e+06,Syn_10,allocated,208,none
1.37142e+06,Syn_11,allocated,208,none
1.37142e+06,Syn_13,allocated,208,none
1.37142e+06,Syn_22,allocated,208,none
1.37142e+06,Syn_29,allocated,208,none
1.37142e+06,Syn_3,allocated,208,none
1.37146e+06,Syn_30,allocated,209,none
1.37146e+06,Syn_31,allocated,209,none
1.37146e+06,Syn_8,allocated,209,none
1.37146e+06,Syn_9,allocated,209,none
1.37173e+06,Syn_12,free,none,none
1.37173e+06,Syn_14,free,none,none
1.37173e+06,Syn_15,free,none,none
1.37173e+06,Syn_16,free,none,none
1.37173e+06,Syn_17,free,none,none
1.37173e+06,Syn_20,free,none,none
1.37173e+06,Syn_21,free,none,none
1.37173e+06,Syn_23,free,none,none
1.37173e+06,Syn_12,allocated,210,none
1.37173e+06,Syn_14,allocated,210,none
1.37173e+06,Syn_15,allocated,210,none
1.37173e+06,Syn_16,allocated,210,none
1.37173e+06,Syn_17,allocated,210,none
1.37173e+06,Syn_20,allocated,210,none
1.37173e+06,Syn_21,allocated,210,none
1.37173e+06,Syn_23,allocated,210,none
1.37872e+06,Syn_4,free,none,none
1.37872e+06,Syn_5,free,none,none
1.37872e+06,Syn_6,free,none,none
1.37872e+06,Syn_7,free,none,none
1.37872e+06,Syn_4,allocated,211,none
1.37872e+06,Syn_5,allocated,211,none
1.37872e+06,Syn_6,allocated,211,none
1.37872e+06,Syn_7,allocated,211,none
1.39575e+06,Syn_18,free,none,none
1.39575e+06,Syn_19,free,none,none
1.39575e+06,Syn_2,free,none,none
1.39575e+06,Syn_24,free,none,none
1.39575e+06,Syn_25,free,none,none
1.39575e+06,Syn_26,free,none,none
1.39575e+06,Syn_27,free,none,none
1.39575e+06,Syn_28,free,none,none
1.39575e+06,Syn_18,allocated,212,none
1.39575e+06,Syn_19,allocated,212,none
1.39857e+06,Syn_30,free,none,none
1.39857e+06,Syn_31,free,none,none
1.39857e+06,Syn_8,free,none,none
1.39857e+06,Syn_9,free,none,none
1.39857e+06,Syn_2,allocated,213,none
1.39857e+06,Syn_24,allocated,213,none
1.39857e+06,Syn_25,allocated,213,none
1.39857e+06,Syn_26,allocated,213,none
1.39857e+06,Syn_27,allocated,213,none
1.39857e+06,Syn_28,allocated,213,none
1.39857e+06,Syn_30,allocated,213,none
1.39857e+06,Syn_31,allocated,213,none
1.40714e+06,Syn_4,free,none,none
1.40714e+06,Syn_5,free,none,none
1.40714e+06,Syn_6,free,none,none
1.40714e+06,Syn_7,free,none,none
1.40874e+06,Syn_12,free,none,none
1.40874e+06,Syn_14,free,none,none
1.40874e+06,Syn_15,free,none,none
1.40874e+06,Syn_16,free,none,none
1.40874e+06,Syn_17,free,none,none
1.40874e+06,Syn_20,free,none,none
1.40874e+06,Syn_21,free,none,none
1.40874e+06,Syn_23,free,none,none
